Title,Bedrooms,Sqft,Price,Date,Link
Relocating Is Easier When You Choose Beacon!,3,1394.0,1999,2021-01-29 17:08,https://charlottesville.craigslist.org/apa/d/charlottesville-relocating-is-easier/7269740224.html
Spend Your Summer  Walking Downtown- Come Home To Tranquility!,2,1150.0,1669,2021-01-30 13:40,https://charlottesville.craigslist.org/apa/d/charlottesville-spend-your-summer/7270123458.html
2B/2B Terrace Apartments at Jefferson Ridge,2,1367.0,1500,2021-02-07 13:50,https://charlottesville.craigslist.org/apa/d/charlottesville-2b-2b-terrace/7270636007.html
1 Bedroom w/ Den + Fireplace at Jefferson Ridge,1,1116.0,1485,2021-02-07 13:50,https://charlottesville.craigslist.org/apa/d/charlottesville-bedroom-den-fireplace/7270636548.html
2bed/2.5 bath Apartments at Jefferson Ridge,2,1302.0,1495,2021-02-07 13:50,https://charlottesville.craigslist.org/apa/d/charlottesville-2bed-25-bath-apartments/7270636694.html
Live Better and Save More $$ TODAY!!,1,881.0,1379,2021-02-02 11:48,https://charlottesville.craigslist.org/apa/d/charlottesville-live-better-and-save/7271483690.html
RENT FREE!! $$$$ NEW OPEN FLOOR L-AYOUT W/ NeW APPLIANCES!!,2,1050.0,675,2021-02-02 13:17,https://charlottesville.craigslist.org/apa/d/charlottesville-rent-free-new-open/7271539318.html
When You Live Here You Are Less Than 1 Mile From Wegmans!,1,881.0,1379,2021-02-03 11:04,https://charlottesville.craigslist.org/apa/d/charlottesville-when-you-live-here-you/7271978149.html
Seasons Changing! Watch Spring Blooms From Your Private Patio!,2,1150.0,1639,2021-02-03 13:54,https://charlottesville.craigslist.org/apa/d/charlottesville-seasons-changing-watch/7272082811.html
"This charming, updated cul-de-sac home",3,2690.0,1101,2021-02-06 08:22,https://charlottesville.craigslist.org/apa/d/charlottesville-this-charming-updated/7273444260.html
2Bdrm 1 Bath Upper Duplex,2,,1000,2021-02-06 12:04,https://charlottesville.craigslist.org/apa/d/charlottesville-2bdrm-bath-upper-duplex/7273551355.html
"Turkey Ridge Ln, 2 Bedroom House for Rent",2,1323.0,910,2021-02-07 14:13,https://charlottesville.craigslist.org/apa/d/charlottesville-turkey-ridge-ln-bedroom/7274076614.html
*New Price* Live Luxe For Less Starting TODAY!,1,881.0,1389,2021-02-08 09:36,https://charlottesville.craigslist.org/apa/d/charlottesville-new-price-live-luxe-for/7274361080.html
Summer Is Coming! Make A Splash And Move To Beacon TODAY!,2,1150.0,1639,2021-02-08 10:55,https://charlottesville.craigslist.org/apa/d/charlottesville-summer-is-coming-make/7274400096.html
You Work Hard To Love Where You Live!,1,881.0,1369,2021-02-08 12:52,https://charlottesville.craigslist.org/apa/d/charlottesville-you-work-hard-to-love/7274463684.html
Great Townhouse - Available June 7th,4,2220.0,2375,2021-02-08 13:09,https://charlottesville.craigslist.org/apa/d/great-townhouse-available-june-7th/7274501868.html
Need Study Space? Your New Home Offers TWO Bonus Spaces!,1,881.0,1369,2021-02-09 11:55,https://charlottesville.craigslist.org/apa/d/charlottesville-need-study-space-your/7274961268.html
NEED CONVENIENCE? LOOK NO FURTHER!,2,940.0,1203,2021-02-09 11:57,https://charlottesville.craigslist.org/apa/d/need-convenience-look-no-further/7274974322.html
"Move In TODAY, Walk To Work TOMORROW!",1,881.0,1389,2021-02-09 12:32,https://charlottesville.craigslist.org/apa/d/charlottesville-move-in-today-walk-to/7274977748.html
3-bed/2-bath W/ Den!,3,1220.0,1539,2021-02-09 12:03,https://charlottesville.craigslist.org/apa/d/bed-bath-den/7274977813.html
SPRING FORWARD IN YOUR NEW APARTMENT HOME!,3,1130.0,1419,2021-02-09 12:10,https://charlottesville.craigslist.org/apa/d/spring-forward-in-your-new-apartment/7274982747.html
Your Perfect Match Is Apartment #3-202!,2,1150.0,1639,2021-02-09 14:27,https://charlottesville.craigslist.org/apa/d/charlottesville-your-perfect-match-is/7275053224.html
Your Sweetheart of a Deal Is Right HERE!,1,881.0,1389,2021-02-09 17:57,https://charlottesville.craigslist.org/apa/d/charlottesville-your-sweetheart-of-deal/7275188034.html
Open The Door and Find Love At First Sight!,1,881.0,1389,2021-02-10 10:01,https://charlottesville.craigslist.org/apa/d/charlottesville-open-the-door-and-find/7275407489.html
"Style 2 bedroom suites units, parking included,adult/pet free building",2,,670,2021-02-10 16:21,https://charlottesville.craigslist.org/apa/d/charlottesville-style-bedroom-suites/7275628989.html
Large 2 Bedroom Available Near UVA | Cabell Avenue,2,979.0,1365,2021-02-15 11:16,https://charlottesville.craigslist.org/apa/d/charlottesville-large-bedroom-available/7275631953.html
BEAUTIFULLY APPOINTEMD TOWNHOUSE WITH A GARAGE.,4,2730.0,850,2021-02-11 20:15,https://charlottesville.craigslist.org/apa/d/charlottesville-beautifully-appointemd/7276243389.html
750 sqftVery nice neighborhood near,2,,1500,2021-02-13 02:37,https://danville.craigslist.org/apa/d/charlottesville-750-sqftvery-nice/7276814624.html
"11th St NW, Spacious 3 bedroom 2 bath available for rent",3,1471.0,988,2021-02-13 14:28,https://charlottesville.craigslist.org/apa/d/charlottesville-11th-st-nw-spacious/7277007899.html
3 bedrooms 2 bath,3,,920,2021-02-13 15:53,https://charlottesville.craigslist.org/apa/d/charlottesville-bedrooms-bath/7277070912.html
Fry's Spring House 3BR/1bath- $1600,3,975.0,1600,2021-02-14 12:28,https://charlottesville.craigslist.org/apa/d/charlottesville-frys-spring-house-3br/7277373367.html
Belmont Location,2,768.0,1025,2021-02-15 09:36,https://charlottesville.craigslist.org/apa/d/charlottesville-belmont-location/7277688784.html
February Availability at Woodlands | 2 Bedroom Townhouse,2,1128.0,1580,2021-02-15 11:15,https://charlottesville.craigslist.org/apa/d/charlottesville-february-availability/7275644492.html
Studio Apartment in Ivy - 4 miles to UVA/ Barracks Road,1,,775,2021-01-23 18:04,https://charlottesville.craigslist.org/apa/d/ivy-studio-apartment-in-ivy-miles-to/7266795091.html
Nestled away from the hustle and bustle,1,675.0,1359,2021-02-01 12:08,https://charlottesville.craigslist.org/apa/d/charlottesville-nestled-away-from-the/7270990206.html
"FOR RENT: 3 BR, 2 BA, 1 Private Office, Gym, Secured Entry",3,,1450,2021-02-02 14:17,https://charlottesville.craigslist.org/apa/d/charlottesville-for-rent-br-ba-private/7271598042.html
2 Bedroom Townhouse at Woodlands | February FREE!,2,1150.0,1550,2021-02-15 11:15,https://charlottesville.craigslist.org/apa/d/charlottesville-bedroom-townhouse-at/7276591947.html
Three Tiered Pool | Pet Friendly | Summer Move-Ins | Patios,2,1120.0,1715,2021-02-15 11:31,https://charlottesville.craigslist.org/apa/d/charlottesville-three-tiered-pool-pet/7277744814.html
Summer Move-Ins NOW LEASING | 2 and 3 Bedrooms | $500 Deposit!,2,1150.0,1655,2021-02-15 11:21,https://charlottesville.craigslist.org/apa/d/charlottesville-summer-move-ins-now/7277742864.html
Looking for a lease takeover,2,,1499,2021-01-07 15:27,https://charlottesville.craigslist.org/apa/d/charlottesville-looking-for-lease/7258501756.html
Upgraded 2BR/2.5B at Jefferson Ridge,2,1302.0,1720,2021-02-07 13:50,https://charlottesville.craigslist.org/apa/d/charlottesville-upgraded-2br-25b-at/7270636232.html
1 Bedroom Apartments at Jefferson Ridge,1,877.0,1299,2021-02-07 13:50,https://charlottesville.craigslist.org/apa/d/charlottesville-bedroom-apartments-at/7270636393.html
2Br/2Bath w/ Fireplace at Jefferson Ridge,2,1360.0,1575,2021-02-07 13:50,https://charlottesville.craigslist.org/apa/d/charlottesville-2br-2bath-fireplace-at/7270896020.html
"900 / 500ft2 - Furnished studio, All utilities included -Walk to UV",1,500.0,900,2021-01-20 20:37,https://charlottesville.craigslist.org/apa/d/charlottesville-ft2-furnished-studio/7265299288.html
Charlottesville UVA Room — 4BR 4 BA Townhouse,1,,600,2021-02-13 08:38,https://charlottesville.craigslist.org/apa/d/charlottesville-charlottesville-uva/7270802361.html
1 bedroom 1 bath 900 square feet,1,,1200,2021-02-12 11:59,https://charlottesville.craigslist.org/apa/d/charlottesville-bedroom-bath-900-square/7276468400.html
Comfortable Well Equipped and Clean. Available Monthly Sweet!,2,,1895,2021-01-01 17:15,https://charlottesville.craigslist.org/apa/d/charlottesville-comfortable-well/7249837044.html
"Nice neighborhood close to UVA, off JPA Extended (Available June)",2,970.0,1150,2021-02-11 16:13,https://charlottesville.craigslist.org/apa/d/charlottesville-nice-neighborhood-close/7271815316.html
Sunset apartment,1,1000.0,1000,2021-01-12 09:52,https://charlottesville.craigslist.org/apa/d/charlottesville-sunset-apartment/7248280150.html
Sunset apartment,1,1000.0,1000,2021-02-07 10:06,https://charlottesville.craigslist.org/apa/d/charlottesville-sunset-apartment/7273961512.html
"Granite Countertops, Breakfast Bar, Walk-in showers",1,739.0,1190,2021-02-11 17:47,https://charlottesville.craigslist.org/apa/d/charlottesville-granite-countertops/7269550909.html
Fry’s Spring 4 Beds 1 Bath Apartment,4,1500.0,1650,2021-02-14 21:56,https://charlottesville.craigslist.org/apa/d/charlottesville-frys-spring-beds-bath/7268664898.html
"Avail 3/1! Short or long term, newly renovated, light-filled 4BR/2BA",4,,2100,2021-02-14 12:00,https://charlottesville.craigslist.org/apa/d/charlottesville-avail-1-short-or-long/7277359934.html
"Large Closets & Extra Storage Included, Private Balcony",1,739.0,1190,2021-02-09 17:16,https://charlottesville.craigslist.org/apa/d/charlottesville-large-closets-extra/7269729703.html
"1st Month is FREE!! Spacious Floorplan, Granite Countertops",1,822.0,1224,2021-02-12 14:41,https://charlottesville.craigslist.org/apa/d/charlottesville-1st-month-is-free/7271208721.html
"Clubhouse, Fire Pit, Close to Freeway",1,739.0,1190,2021-02-03 18:15,https://charlottesville.craigslist.org/apa/d/charlottesville-clubhouse-fire-pit/7272244069.html
"SPECIAL PRICING WON'T LAST!! Private Balcony, Close to Shopping",1,822.0,1139,2021-02-13 12:13,https://charlottesville.craigslist.org/apa/d/charlottesville-special-pricing-wont/7269251173.html
"Apply Today - Get the 1st month FREE!! Spacious Floorplan, Huge Closet",1,822.0,1224,2021-02-13 16:20,https://charlottesville.craigslist.org/apa/d/charlottesville-apply-today-get-the-1st/7269545455.html
"Clubhouse, Swimming Pool, Granite Countertops",1,822.0,1229,2021-02-10 17:49,https://charlottesville.craigslist.org/apa/d/charlottesville-clubhouse-swimming-pool/7269677566.html
"SPECIAL PRICE WONT LAST!! New Luxury Community, Convenient Location",1,822.0,1139,2021-02-10 09:26,https://charlottesville.craigslist.org/apa/d/charlottesville-special-price-wont-last/7271206511.html
"Fitness Center, Stunning Views, Close to Shopping & Restaurants",2,1064.0,1385,2021-02-12 16:45,https://charlottesville.craigslist.org/apa/d/charlottesville-fitness-center-stunning/7272507288.html
AVAILABLE NOW with the 1ST MONTH FREE!! Spacious Floorplans,1,745.0,1220,2021-02-11 13:22,https://charlottesville.craigslist.org/apa/d/charlottesville-available-now-with-the/7273252358.html
"SPECIAL PRICE!! Fire Pit, Tile Backsplash, Private Balcony",1,745.0,1105,2021-02-12 12:30,https://charlottesville.craigslist.org/apa/d/charlottesville-special-price-fire-pit/7273254250.html
"1ST MONTH is FREE!! Swimming Pool, BBQ/Picnic Area",2,1210.0,1527,2021-02-13 14:17,https://charlottesville.craigslist.org/apa/d/charlottesville-1st-month-is-free/7273258023.html
"1ST MONTH is FREE!! Views, In-Unit Laundry, Resort-style pool",2,1064.0,1390,2021-02-11 11:11,https://charlottesville.craigslist.org/apa/d/charlottesville-1st-month-is-free-views/7273265129.html
"Extra Storage, Granite Countertops, Breakfast Bar",1,745.0,1115,2021-02-15 09:26,https://charlottesville.craigslist.org/apa/d/charlottesville-extra-storage-granite/7275698520.html
"Ceiling Fan, Air Conditioning, Ice Maker, Garbage Disposal",1,867.0,1268,2021-02-10 18:20,https://charlottesville.craigslist.org/apa/d/charlottesville-ceiling-fan-air/7275699676.html
"Walk-in showers, Close to Schools, Breakfast Bar",2,1083.0,1432,2021-02-10 18:17,https://charlottesville.craigslist.org/apa/d/charlottesville-walk-in-showers-close/7275700446.html
"Alternative Premium, Package receiving, Air Conditioning",1,745.0,1105,2021-02-12 17:52,https://charlottesville.craigslist.org/apa/d/charlottesville-alternative-premium/7276674345.html
"Large Closet, Close to Restaurants, Pet Friendly",1,745.0,1115,2021-02-12 17:42,https://charlottesville.craigslist.org/apa/d/charlottesville-large-closet-close-to/7276675018.html
"Clubhouse, Package receiving, Walk-In Closet",2,1154.0,1447,2021-02-12 17:49,https://charlottesville.craigslist.org/apa/d/charlottesville-clubhouse-package/7276675741.html
"Air Conditioning, Large Closet, Fitness Center",2,1083.0,1427,2021-02-12 17:45,https://charlottesville.craigslist.org/apa/d/charlottesville-air-conditioning-large/7276676531.html
"Fire Pit, Package receiving, Large Closet",2,1064.0,1425,2021-02-12 18:00,https://charlottesville.craigslist.org/apa/d/charlottesville-fire-pit-package/7276677451.html
"1st Month is FREE!! Ceiling Fan, Alternative Premium",2,1210.0,1532,2021-02-12 17:50,https://charlottesville.craigslist.org/apa/d/charlottesville-1st-month-is-free/7276679396.html
"1st Month is FREE!! In-Unit Laundry, BBQ/Picnic Area",1,745.0,1220,2021-02-15 11:26,https://charlottesville.craigslist.org/apa/d/charlottesville-1st-month-is-free-in/7276684324.html
"Large walk-in closets, Classic subway tile backsplash, Walk-in showers",2,1154.0,1452,2021-02-09 18:31,https://charlottesville.craigslist.org/apa/d/charlottesville-large-walk-in-closets/7275207957.html
"Newly Renovated, Sunny, Studio - Fontaine Ave",1,266.0,975,2021-02-08 12:33,https://charlottesville.craigslist.org/apa/d/charlottesville-newly-renovated-sunny/7274476691.html
"HUGE 1BR APT!! Fire Pit, Salt-water Pool, In-Unit Laundry",1,867.0,1268,2021-02-12 08:21,https://charlottesville.craigslist.org/apa/d/charlottesville-huge-1br-apt-fire-pit/7272513263.html
"1st Month is FREE!! Pet Friendly, Smoke Free, Spacious Floorplan",2,1210.0,1527,2021-02-12 14:31,https://charlottesville.craigslist.org/apa/d/charlottesville-1st-month-is-free-pet/7272502508.html
"Walk-in showers, Granite Countertops, Close to Schools",1,867.0,1268,2021-02-12 17:41,https://charlottesville.craigslist.org/apa/d/charlottesville-walk-in-showers-granite/7276671493.html
"SPECIAL PRICING WON'T LAST!! Private Patio, Breakfast Bar",1,745.0,1105,2021-01-28 17:24,https://charlottesville.craigslist.org/apa/d/charlottesville-special-pricing-wont/7269240859.html
"Close to Shopping, Resort-style pool, Clubhouse",1,822.0,1224,2021-02-11 15:28,https://charlottesville.craigslist.org/apa/d/charlottesville-close-to-shopping/7269546624.html
"1st Month is FREE!! Air Conditioning, Ice Maker, Clubhouse",2,1210.0,1542,2021-02-09 18:18,https://charlottesville.craigslist.org/apa/d/charlottesville-1st-month-is-free-air/7275206150.html
"New Luxury Community, Close to Shopping & Dining, Convenient to I-64",1,867.0,1268,2021-02-04 09:15,https://charlottesville.craigslist.org/apa/d/charlottesville-new-luxury-community/7271205220.html
"Playground, Dishwasher, Close to Shopping & Dining",2,1154.0,1422,2021-02-12 10:22,https://charlottesville.craigslist.org/apa/d/charlottesville-playground-dishwasher/7272504107.html
Beautiful Summer Sublet on Oakhurst Circle,2,1000.0,975,2021-01-16 14:01,https://charlottesville.craigslist.org/apa/d/charlottesville-beautiful-summer-sublet/7263040789.html
"Kitchen Pantry, Dishwasher, Ice Maker, Microwave",1,745.0,1190,2021-02-11 22:02,https://charlottesville.craigslist.org/apa/d/charlottesville-kitchen-pantry/7269548363.html
"Walk-In Closet, Pet Friendly, Private Balcony",1,745.0,1115,2021-02-09 18:14,https://charlottesville.craigslist.org/apa/d/charlottesville-walk-in-closet-pet/7275204426.html
ISO 3 bd or 2 with den,,,1100,2021-01-26 10:47,https://charlottesville.craigslist.org/apa/d/charlottesville-iso-bd-or-with-den/7267992531.html
"Ice Maker, Dishwasher, Granite Countertops",1,741.0,1140,2021-02-09 18:06,https://charlottesville.craigslist.org/apa/d/charlottesville-ice-maker-dishwasher/7275200054.html
"SPECIAL PRICING WON'T LAST!! Granite Countertops, Extra Storage",1,741.0,1140,2021-02-08 18:37,https://charlottesville.craigslist.org/apa/d/charlottesville-special-pricing-wont/7269253968.html
"Close to Freeway, Clubhouse, Swimming Pool",2,1083.0,1417,2021-02-12 12:19,https://charlottesville.craigslist.org/apa/d/charlottesville-close-to-freeway/7272505327.html
WaHoo! We have 2 Newly Renovated Flats available for 2021/2022,4,1172.0,2939,2021-02-01 10:19,https://charlottesville.craigslist.org/apa/d/charlottesville-wahoo-we-have-newly/7270927470.html
Fantastic Fall Student Rental- Walk To Classes,2,,1200,2021-02-12 17:50,https://charlottesville.craigslist.org/apa/d/charlottesville-fantastic-fall-student/7269297502.html
2 Bedroom apartment off of Stadium Rd. -avail. Aug. 2021,2,750.0,895,2021-01-10 09:33,https://charlottesville.craigslist.org/apa/d/charlottesville-bedroom-apartment-off/7251079621.html
3 BR Duplex Side for Rent,3,,1250,2021-02-11 12:59,https://charlottesville.craigslist.org/apa/d/charlottesville-br-duplex-side-for-rent/7276016256.html
Half house for rent,3,1100.0,1500,2021-01-20 19:42,https://charlottesville.craigslist.org/apa/d/charlottesville-half-house-for-rent/7265278180.html
Spacious 2 BR/2 BA JPA Condo,2,,1500,2021-01-12 15:15,https://charlottesville.craigslist.org/apa/d/charlottesville-spacious-br-ba-jpa-condo/7261004918.html
1 Bedroom on JPA,1,,1300,2021-02-09 16:58,https://charlottesville.craigslist.org/apa/d/charlottesville-bedroom-on-jpa/7263232322.html
"Conveniently located duplex available June 16, 2021",2,871.0,1655,2021-02-08 12:04,https://charlottesville.craigslist.org/apa/d/charlottesville-conveniently-located/7271966860.html
One Bedroom Woodrow Apartment in the 100 Bldg! Available Today,1,450.0,1199,2021-02-05 09:32,https://charlottesville.craigslist.org/apa/d/charlottesville-one-bedroom-woodrow/7257777396.html
Available Now for Short Term Lease This Gorgeous 1BR/1BA w/ Fireplace!,1,450.0,1199,2021-02-08 10:17,https://charlottesville.craigslist.org/apa/d/charlottesville-available-now-for-short/7265447318.html
Spacious 1BR 1BA Available for Short Term Lease - Call Tommy Today,1,450.0,1199,2021-02-09 10:19,https://charlottesville.craigslist.org/apa/d/charlottesville-spacious-1br-1ba/7274915451.html
Live at a duplex located in one of the prime spots at UVA! Lower rate!,2,975.0,1950,2021-02-08 12:08,https://charlottesville.craigslist.org/apa/d/charlottesville-live-at-duplex-located/7274454089.html
Spacious 3-bedroom Apartment in Duplex - Available 8/16/2021,3,975.0,1950,2021-02-15 11:21,https://charlottesville.craigslist.org/apa/d/charlottesville-spacious-bedroom/7277742957.html
Spacious 1BR 1BA Available Now - Call Tommy for Details!,1,450.0,1199,2021-02-10 11:53,https://charlottesville.craigslist.org/apa/d/charlottesville-spacious-1br-1ba/7261836666.html
Spacious 1BR 1BA Available Today - Call Tommy for Details!,1,450.0,1199,2021-02-11 10:34,https://charlottesville.craigslist.org/apa/d/charlottesville-spacious-1br-1ba/7267990032.html
Spacious 1BR 1BA Available for Short Term Lease-Call Tom for Details!,1,450.0,1199,2021-02-15 10:49,https://charlottesville.craigslist.org/apa/d/charlottesville-spacious-1br-1ba/7271953496.html
Spacious 1BR 1BA Available Now - Call Tommy for Details!,1,450.0,1199,2021-02-12 10:30,https://charlottesville.craigslist.org/apa/d/charlottesville-spacious-1br-1ba/7276415266.html
544A Cleveland Avenue - Newly Updated,2,1440.0,1300,2021-01-26 09:50,https://charlottesville.craigslist.org/apa/d/charlottesville-544a-cleveland-avenue/7254101006.html
544B Cleveland Avenue - Newly Updated,2,1440.0,1300,2021-01-26 09:50,https://charlottesville.craigslist.org/apa/d/charlottesville-544b-cleveland-avenue/7254100639.html
542B Cleveland Avenue - Newly Updated,2,1440.0,1300,2021-01-26 09:50,https://charlottesville.craigslist.org/apa/d/charlottesville-542b-cleveland-avenue/7254101680.html
Ivy Road and UVA,2,,1340,2021-02-15 09:49,https://charlottesville.craigslist.org/apa/d/charlottesville-ivy-road-and-uva/7274451151.html
THE BARRINGER- PENTHOUSE Condos at UVA Hospital,2,1250.0,2295,2021-01-11 13:20,https://charlottesville.craigslist.org/apa/d/charlottesville-the-barringer-penthouse/7260407100.html
"New Year, New Home | Beacon on 5th",1,880.0,1369,2021-02-09 13:59,https://charlottesville.craigslist.org/apa/d/charlottesville-new-year-new-home/7269630019.html
Beacon on 5th | Your 2021 View,1,880.0,1549,2021-01-15 15:39,https://charlottesville.craigslist.org/apa/d/charlottesville-beacon-on-5th-your-2021/7262584140.html
Near EVERYWHERE You Want To Be| Try Beacon on 5th,1,880.0,1489,2021-01-15 13:23,https://charlottesville.craigslist.org/apa/d/charlottesville-near-everywhere-you/7260414178.html
New Townhome with Luxury and Location | Beacon on 5th,3,1733.0,2259,2021-02-09 14:03,https://charlottesville.craigslist.org/apa/d/charlottesville-new-townhome-with/7275056816.html
Dwell Well in 2021| Beacon on 5th,1,880.0,1419,2021-01-20 17:04,https://charlottesville.craigslist.org/apa/d/charlottesville-dwell-well-in-2021/7252608461.html
Beacon on 5th | cheers to your new home,1,880.0,1419,2021-01-02 14:26,https://charlottesville.craigslist.org/apa/d/charlottesville-beacon-on-5th-cheers-to/7254126151.html
Blending City & Tranquility | Beacon on 5th,1,880.0,1689,2021-02-09 08:10,https://charlottesville.craigslist.org/apa/d/charlottesville-blending-city/7270158654.html
"UVA Doctors & Nurses, you're just a heartbeat away from work!",1,881.0,1549,2021-01-16 14:28,https://charlottesville.craigslist.org/apa/d/charlottesville-uva-doctors-nurses/7260529867.html
A Higher Quality of Living | Beacon on 5th,2,1150.0,1639,2021-01-29 13:50,https://charlottesville.craigslist.org/apa/d/charlottesville-higher-quality-of/7255865828.html
"🧑‍🏫Teachers, work from home in your Flex Space!",2,1150.0,1699,2021-01-07 15:35,https://charlottesville.craigslist.org/apa/d/charlottesville-teachers-work-from-home/7258498790.html
"Beacon on 5th | Rare Price, Green View",1,880.0,1399,2021-02-09 08:05,https://charlottesville.craigslist.org/apa/d/charlottesville-beacon-on-5th-rare/7269768662.html
Spectacularly Spacious for You and Your Roommate | Beacon on 5th,2,1150.0,1699,2021-01-20 17:05,https://charlottesville.craigslist.org/apa/d/charlottesville-spectacularly-spacious/7252612421.html
"UVA Employees, work is just a 💓heartbeat away!",1,881.0,1419,2021-01-07 13:39,https://charlottesville.craigslist.org/apa/d/charlottesville-uva-employees-work-is/7258420518.html
Happy 2020! Come See What's New @ Beacon on 5th!!!,3,,1939,2021-01-04 13:30,https://charlottesville.craigslist.org/apa/d/charlottesville-happy-2020-come-see/7256810592.html
New Year... New Address| Visit Beacon on 5th,3,,1939,2021-01-05 12:39,https://charlottesville.craigslist.org/apa/d/charlottesville-new-year-new-address/7257332502.html
⚠WARNING⚠ YOU May Fall In Love With This Address| Visit Beacon,3,,1939,2021-01-07 12:21,https://charlottesville.craigslist.org/apa/d/charlottesville-warning-you-may-fall-in/7258365031.html
